Category,Sub-Category,Product Name,total_sales,total_profit,total_units,orders,loss_orders,profit_margin_pct,loss_rate_pct
Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,61599.82,25199.93,20.0,5,0.0,40.91,0.0
Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,7753.04,31.0,10,2.0,28.24,20.0
Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,18839.69,6983.88,38.0,8,0.0,37.07,0.0
Technology,Copiers,Canon PC1060 Personal Laser Copier,11619.83,4570.93,19.0,4,0.0,39.34,0.0
Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9,4094.98,12.0,3,1.0,22.29,33.33
Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.95,11.0,2,0.0,49.0,0.0
Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.97,11.0,2,0.0,26.0,0.0
Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,9367.29,3696.28,24.0,7,0.0,39.46,0.0
Office Supplies,Binders,Ibico EPK-21 Electric Binding System,15875.92,3345.28,13.0,3,1.0,21.07,33.33
Technology,Machines,Zebra ZM400 Thermal Label Printer,6965.7,3343.54,6.0,2,0.0,48.0,0.0
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02,40.0,8,0.0,28.72,0.0
Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,8899.82,3124.94,21.0,7,0.0,35.11,0.0
Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.03,35.0,10,0.0,28.51,0.0
Technology,Copiers,Canon Imageclass D680 Copier / Fax,8959.87,2799.96,16.0,5,0.0,31.25,0.0
Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,8070.19,2518.06,27.0,6,1.0,31.2,16.67
Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,7985.38,2318.34,28.0,8,1.0,29.03,12.5
Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,2243.93,17.0,4,0.0,40.0,0.0
Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,19823.48,2233.51,37.0,11,4.0,11.27,36.36
Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74,2155.89,26.0,7,0.0,42.11,0.0
Technology,Copiers,Canon PC940 Copier,5669.87,2092.45,15.0,3,0.0,36.9,0.0
Technology,Copiers,Sharp AL-1530CS Digital Copier,6399.87,2064.96,17.0,4,0.0,32.27,0.0
Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",8138.23,2016.71,49.0,13,0.0,24.78,0.0
Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99,2.0,1,0.0,50.0,0.0
Technology,Copiers,Canon PC1080F Personal Copier,5999.9,1973.97,11.0,4,0.0,32.9,0.0
Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,7730.2,1932.55,45.0,11,0.0,25.0,0.0
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,1927.44,51.0,12,0.0,18.12,0.0
Technology,Phones,Samsung Galaxy Mega 6.3,13943.67,1822.76,39.0,6,0.0,13.07,0.0
Technology,Copiers,Canon Image Class D660 Copier,3959.93,1691.97,7.0,2,0.0,42.73,0.0
Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1668.21,5.0,1,0.0,49.0,0.0
Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,1653.83,18.0,3,0.0,28.0,0.0
Technology,Copiers,Sharp 1540cs Digital Laser Copier,4399.92,1649.97,10.0,7,0.0,37.5,0.0
Technology,Accessories,Logitech P710e Mobile Speakerphone,10196.6,1645.36,41.0,9,3.0,16.14,33.33
Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",6574.54,1640.53,43.0,9,0.0,24.95,0.0
Technology,Phones,Apple iPhone 5,12996.6,1611.58,24.0,6,2.0,12.4,33.33
Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,4322.81,1592.5,23.0,6,1.0,36.84,16.67
Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,10925.0,1575.11,43.0,11,3.0,14.42,27.27
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,8665.19,1558.59,35.0,8,3.0,17.99,37.5
Furniture,Chairs,Hon Pagoda Stacking Chairs,6483.8,1540.7,22.0,4,0.0,23.76,0.0
Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.88,1517.91,36.0,8,0.0,45.68,0.0
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.18,1503.52,14.0,3,0.0,39.0,0.0
Technology,Copiers,Canon PC-428 Personal Copier,4119.79,1469.93,25.0,6,0.0,35.68,0.0
Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,1459.2,8.0,1,0.0,48.0,0.0
Technology,Accessories,Logitech diNovo Edge Keyboard,7399.7,1432.44,31.0,5,0.0,19.36,0.0
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.0,1388.63,34.0,8,2.0,16.47,25.0
Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,5751.77,1388.61,49.0,8,0.0,24.14,0.0
Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,5572.79,1380.72,14.0,5,0.0,24.78,0.0
Technology,Machines,Bady BDG101FRU Card Printer,9279.88,1327.98,14.0,4,1.0,14.31,25.0
Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.65,28.0,8,0.0,14.88,0.0
Furniture,Chairs,Hon Olson Stacker Chairs,5427.99,1292.13,22.0,4,0.0,23.8,0.0
Office Supplies,Paper,Xerox 1915,2789.01,1262.39,28.0,9,0.0,45.26,0.0
Office Supplies,Storage,Standard Rollaway File with Lock,6594.95,1261.33,40.0,10,0.0,19.13,0.0
Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.06,1260.22,29.0,8,0.0,46.69,0.0
Office Supplies,Storage,Letter Size Cart,4600.09,1252.88,33.0,8,0.0,27.24,0.0
Furniture,Chairs,Hon GuestStacker Chair,6936.1,1233.08,34.0,9,0.0,17.78,0.0
Technology,Accessories,Maxell iVDR EX 500GB Cartridge,2755.4,1184.82,10.0,2,0.0,43.0,0.0
Furniture,Chairs,SAFCO Arco Folding Chair,11572.78,1179.37,53.0,13,3.0,10.19,23.08
Technology,Phones,Panasonic KX-TG9471B,4978.15,1168.1,27.0,7,0.0,23.46,0.0
Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.84,1154.96,19.0,7,0.0,23.77,0.0
Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.8,1147.42,25.0,5,0.0,37.5,0.0
