Region,State,total_sales,total_profit,total_orders,avg_discount,loss_orders,profit_margin_pct,loss_rate_pct
West,California,457687.63,76381.39,1021,0.0728,105.0,16.69,10.28
East,New York,310876.27,74038.55,562,0.0553,47.0,23.82,8.36
West,Washington,138641.27,33402.65,256,0.064,17.0,24.09,6.64
Central,Michigan,76269.61,24463.19,117,0.0071,0.0,32.07,0.0
South,Virginia,70636.72,18597.95,115,0.0,0.0,26.33,0.0
Central,Indiana,53555.36,18382.94,73,0.0,0.0,34.33,0.0
South,Georgia,49095.84,16250.04,91,0.0,0.0,33.1,0.0
South,Kentucky,36591.75,11199.7,61,0.0,0.0,30.61,0.0
Central,Minnesota,29863.15,10823.19,44,0.0,0.0,36.24,0.0
East,Delaware,27451.07,9977.37,44,0.0062,2.0,36.35,4.55
East,New Jersey,35764.31,9772.91,61,0.0046,2.0,27.33,3.28
Central,Wisconsin,32114.61,8401.8,53,0.0,0.0,26.16,0.0
East,Rhode Island,22627.96,7285.63,25,0.0214,4.0,32.2,16.0
East,Maryland,23705.52,7031.18,46,0.0057,2.0,29.66,4.35
East,Massachusetts,28634.43,6785.5,62,0.0156,5.0,23.7,8.06
Central,Missouri,22205.15,6436.21,30,0.0,0.0,28.99,0.0
South,Alabama,19510.64,5786.83,34,0.0,0.0,29.66,0.0
Central,Oklahoma,19683.39,4853.96,34,0.0,0.0,24.66,0.0
South,Arkansas,11678.13,4008.69,27,0.0,0.0,34.33,0.0
East,Connecticut,13384.36,3511.49,45,0.0073,2.0,26.24,4.44
West,Nevada,16729.1,3316.77,23,0.0615,1.0,19.83,4.35
South,Mississippi,10771.34,3172.98,26,0.0,0.0,29.46,0.0
West,Utah,11220.06,2546.53,26,0.0604,0.0,22.7,0.0
East,Vermont,8929.37,2244.98,6,0.0,0.0,25.14,0.0
South,Louisiana,9217.03,2196.1,21,0.0,0.0,23.83,0.0
Central,Nebraska,7464.93,2037.09,23,0.0,0.0,27.29,0.0
West,Montana,5589.35,1833.33,8,0.0667,0.0,32.8,0.0
South,South Carolina,8481.71,1769.06,20,0.0,0.0,20.86,0.0
East,New Hampshire,7292.52,1706.5,17,0.0111,1.0,23.4,5.88
Central,Iowa,4579.76,1183.81,17,0.0,0.0,25.85,0.0
West,New Mexico,4783.52,1157.12,22,0.0595,1.0,24.19,4.55
East,District of Columbia,2865.02,1059.59,4,0.0,0.0,36.98,0.0
Central,Kansas,2914.31,836.44,14,0.0,0.0,28.7,0.0
West,Idaho,4382.49,826.72,11,0.0857,0.0,18.86,0.0
East,Maine,1270.53,454.49,3,0.0,0.0,35.77,0.0
Central,South Dakota,1315.56,394.83,5,0.0,0.0,30.01,0.0
Central,North Dakota,919.91,230.15,2,0.0,0.0,25.02,0.0
East,West Virginia,1209.82,185.92,2,0.075,1.0,15.37,50.0
West,Wyoming,1603.14,100.2,1,0.2,0.0,6.25,0.0
West,Oregon,17431.15,-1190.47,56,0.2887,43.0,-6.83,76.79
South,Florida,89473.71,-3399.3,200,0.2993,126.0,-3.8,63.0
West,Arizona,35282.0,-3427.92,108,0.3036,85.0,-9.72,78.7
South,Tennessee,30661.87,-5341.69,91,0.2913,65.0,-17.42,71.43
West,Colorado,32108.12,-6527.86,79,0.3165,66.0,-20.33,83.54
South,North Carolina,55603.16,-7490.91,136,0.2835,68.0,-13.47,50.0
Central,Illinois,80166.1,-12607.89,276,0.39,255.0,-15.73,92.39
East,Pennsylvania,116511.91,-15559.96,288,0.3286,278.0,-13.35,96.53
East,Ohio,78258.14,-16971.38,236,0.3249,209.0,-21.69,88.56
Central,Texas,170188.05,-25729.36,487,0.3702,486.0,-15.12,99.79
